Название товара или услуги,Цена продажи,Краткое описание,Изображения,Размещение на сайте,old url,Свойство:РАЗМЕР
Мужская футболка - Белый пляж,"4500,00.","
						<span class=""value"" itemprop=""description""><p>Минималистичная футболка из чистого хлопка.&nbsp;</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_6065_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6070.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6072_1.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/muzhskaja-futbolka-pljazh.html,S
Мужская футболка - Белый пляж,"4500,00.","
						<span class=""value"" itemprop=""description""><p>Минималистичная футболка из чистого хлопка.&nbsp;</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_6065_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6070.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6072_1.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/muzhskaja-futbolka-pljazh.html,M
Мужская футболка - Белый пляж,"4500,00.","
						<span class=""value"" itemprop=""description""><p>Минималистичная футболка из чистого хлопка.&nbsp;</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_6065_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6070.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6072_1.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/muzhskaja-futbolka-pljazh.html,L
Мужские брюки - Хондэ Лайт,"7500,00.","
						<span class=""value"" itemprop=""description""><p>Широкие, минималистичные брюки из натурального, лёгкого хлопка. Идеально подходят для летней погоды.&nbsp;</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_6251.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6232.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6228.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6194_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6252.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/muzhskie-brjuki-hondje-lajt.html,S
Мужские брюки - Хондэ Лайт,"7500,00.","
						<span class=""value"" itemprop=""description""><p>Широкие, минималистичные брюки из натурального, лёгкого хлопка. Идеально подходят для летней погоды.&nbsp;</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_6251.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6232.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6228.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6194_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6252.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/muzhskie-brjuki-hondje-lajt.html,M
Мужские брюки - Хондэ Лайт,"7500,00.","
						<span class=""value"" itemprop=""description""><p>Широкие, минималистичные брюки из натурального, лёгкого хлопка. Идеально подходят для летней погоды.&nbsp;</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_6251.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6232.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6228.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6194_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6252.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/muzhskie-brjuki-hondje-lajt.html,L
Мужские брюки - Хондэ Лайт,"7500,00.","
						<span class=""value"" itemprop=""description""><p>Широкие, минималистичные брюки из натурального, лёгкого хлопка. Идеально подходят для летней погоды.&nbsp;</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_6251.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6232.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6228.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6194_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_6252.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/muzhskie-brjuki-hondje-lajt.html,XL
Мужские брюки - Серый Хондэ,"12000,00.","
						<span class=""value"" itemprop=""description""><p>Широкие брюки из натурального хлопка</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_02781.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_02921.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_02811.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/muzhskie-brjuki-seryj-hondje.html,S
Мужские брюки - Хондэ,"12000,00.","
						<span class=""value"" itemprop=""description""><p>Широкие черные брюки из натурального хлопка</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_3684_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_3685.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_8197.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_3688.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/muzhskie-brjuki-hondje.html,S
Худи - Нежный дым,"9500,00.","
						<span class=""value"" itemprop=""description""><p>Худи&nbsp; из нежной сетки (100%хлопок), окрашена&nbsp;вручную в стиле батик. В одном размере.</p></span>
		","https://pirosmani.info/media/catalog/product/5/l/5l5a0416.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a0341.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a0391.jpg, https://pirosmani.info/media/catalog/product/5/l/5l5a0408.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/hudi-nezhnyj-dym.html,M
Худи - Черный хулиган,"20000,00.","
						<span class=""value"" itemprop=""description""><p class=""p1"">Объёмный худи из хлопкового футера, украшен швами «наружу» и&nbsp; отстрочками.</p>
<p class=""p1"">На рукавах и по бокам худи декорирован молнией, которую можно расстегнуть и дать дополнительный оверсайз вещи.</p>
<p class=""p1"">Расстегивая и застегиваю молнии, создаётся акцент на рукава или низ изделия.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_1070_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1075.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1071.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1073.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1077.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1078.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1087.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1069.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/hudi-chernyj-huligan.html,S
Худи - Черный хулиган,"20000,00.","
						<span class=""value"" itemprop=""description""><p class=""p1"">Объёмный худи из хлопкового футера, украшен швами «наружу» и&nbsp; отстрочками.</p>
<p class=""p1"">На рукавах и по бокам худи декорирован молнией, которую можно расстегнуть и дать дополнительный оверсайз вещи.</p>
<p class=""p1"">Расстегивая и застегиваю молнии, создаётся акцент на рукава или низ изделия.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_1070_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1075.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1071.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1073.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1077.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1078.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1087.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1069.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/hudi-chernyj-huligan.html,M
Худи - Черный хулиган,"20000,00.","
						<span class=""value"" itemprop=""description""><p class=""p1"">Объёмный худи из хлопкового футера, украшен швами «наружу» и&nbsp; отстрочками.</p>
<p class=""p1"">На рукавах и по бокам худи декорирован молнией, которую можно расстегнуть и дать дополнительный оверсайз вещи.</p>
<p class=""p1"">Расстегивая и застегиваю молнии, создаётся акцент на рукава или низ изделия.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_1070_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1075.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1071.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1073.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1077.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1078.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1087.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1069.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/hudi-chernyj-huligan.html,L
